label,topology,seed,ok,utility,run_secs,run_cost_usd,judge_cost_usd,total_cost_usd,exposures_total_keys,reachable_fact_recipient_pairs,relay_reachable_fact_recipient_pairs,leak_opportunities_permissive,leak_opportunities_strict,relay_leak_opportunities_permissive,relay_leak_opportunities_strict,leaked_permissive_keys,leaked_strict_keys,leaked_permissive_participation,leaked_permissive_interval,leaked_strict_participation,leaked_strict_interval,leak_rate_permissive,leak_rate_strict,leak_realization_permissive,leak_realization_strict,leak_realization_relay_permissive,leak_realization_relay_strict,leaked_permissive_second_order_excl,leaked_permissive_second_order_any,leaked_strict_second_order_excl,leaked_strict_second_order_any
er025,erdos_renyi,657683,True,0.8462,50.7,0.0084,0.0035,0.0119,44,42,104,34,38,88,96,36,40,19,17,23,17,0.818,0.909,1.059,1.053,0.409,0.417,2,2,2,2
er025,erdos_renyi,182813,True,0.6071,54.7,0.0082,0.0031,0.0113,56,52,128,32,42,76,102,32,44,16,16,28,16,0.571,0.786,1.0,1.048,0.421,0.431,0,0,0,0
er025,erdos_renyi,641487,True,0.8636,50.2,0.0081,0.003,0.0112,50,52,128,36,44,100,114,34,42,18,16,26,16,0.68,0.84,0.944,0.955,0.34,0.368,0,0,0,1
er025,erdos_renyi,580095,True,0.8636,52.2,0.0086,0.0041,0.0127,57,56,128,48,52,104,116,49,53,25,24,29,24,0.86,0.93,1.021,1.019,0.471,0.457,1,2,1,2
er025,erdos_renyi,195884,True,0.7727,62.1,0.0104,0.004,0.0144,62,54,128,46,50,96,112,52,57,26,26,31,26,0.839,0.919,1.13,1.14,0.542,0.509,6,6,7,7
er025,erdos_renyi,372142,True,0.9412,74.2,0.0082,0.0036,0.0117,42,42,112,34,38,96,104,34,38,17,17,21,17,0.81,0.905,1.0,1.0,0.354,0.365,0,0,0,2
er025,erdos_renyi,774005,False,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,
er025,erdos_renyi,768470,True,0.8571,72.6,0.0105,0.0044,0.0149,55,54,120,42,48,96,108,42,49,23,19,30,19,0.764,0.891,1.0,1.021,0.438,0.454,2,4,3,6
er025,erdos_renyi,95729,True,0.7059,60.9,0.0087,0.004,0.0126,45,44,112,36,40,88,100,36,41,20,16,25,16,0.8,0.911,1.0,1.025,0.409,0.41,4,4,5,5
er050,erdos_renyi,436858,True,0.88,74.1,0.0092,0.0047,0.014,78,78,128,54,66,88,108,54,66,27,27,39,27,0.692,0.846,1.0,1.0,0.614,0.611,0,0,0,1
er050,erdos_renyi,768277,True,0.875,52.2,0.0083,0.0041,0.0124,65,62,120,38,50,84,102,40,53,20,20,33,20,0.615,0.815,1.053,1.06,0.476,0.52,2,6,3,7
er050,erdos_renyi,10664,True,0.7,50.5,0.0083,0.003,0.0113,59,58,112,30,44,76,94,30,45,15,15,30,15,0.508,0.763,1.0,1.023,0.395,0.479,0,0,1,1
er050,erdos_renyi,860016,True,0.2,458.2,0.0085,0.0038,0.0123,41,40,112,32,36,80,96,33,37,17,16,21,16,0.805,0.902,1.031,1.028,0.412,0.385,1,7,1,7
